인덱스,행정동_코드,시군구명,행정동명,위도,경도
0,11110530,종로구,사직동,37.575408,126.965944
1,11110540,종로구,삼청동,37.590758,126.980996
2,11110550,종로구,부암동,37.594768,126.965574
3,11110560,종로구,평창동,37.613029,126.974485
4,11110570,종로구,무악동,37.57711,126.958562
5,11110580,종로구,교남동,37.568547,126.964454
6,11110600,종로구,가회동,37.582682,126.984831
7,11110615,종로구,종로1.2.3.4가동,37.570962,126.977881
8,11110630,종로구,종로5.6가동,37.573681,127.009292
9,11110640,종로구,이화동,37.577245,127.005622
10,11110670,종로구,창신1동,37.574729127.012062,
11,11110680,종로구,창신2동,37.574729127.012062,
12,11110690,종로구,창신3동,37.574729127.012062,
13,11110700,종로구,숭인1동,,
14,11110710,종로구,숭인2동,,
15,11110515,종로구,청운효자동,37.584009,126.970626
16,11110650,종로구,혜화동,37.587817,127.001745
17,11140520,중구,소공동,37.564079,126.980046
18,11140540,중구,회현동,37.557288,126.979369
19,11140550,중구,명동,37.560029,126.985806
20,11140570,중구,필동,37.560148,126.995572
21,11140580,중구,장충동,37.561919,127.007818
22,11140590,중구,광희동,37.564445,127.005023
23,11140605,중구,을지로동,37.56669,126.991319
24,11140650,중구,신당5동,37.56376,126.997459
25,11140670,중구,황학동,37.568542,127.020827
26,11140680,중구,중림동,37.558842,126.96632
27,11140615,중구,신당동,37.557913,127.013655
28,11140625,중구,다산동,37.554398,127.008155
29,11140635,중구,약수동,37.552459,127.008973
30,11140645,중구,청구동,37.557074,127.014616
31,11140665,중구,동화동,37.560042,127.019399
32,11170510,용산구,후암동,37.549901,126.980613
33,11170520,용산구,용산2가동,37.542884,126.985008
34,11170530,용산구,남영동,37.542865,126.973353
35,11170570,용산구,원효로2동,37.532612,126.990182
36,11170580,용산구,효창동,37.542828,126.960951
37,11170590,용산구,용문동,37.537663,126.959677
38,11170630,용산구,이촌1동,37.532612,126.990182
39,11170640,용산구,이촌2동,37.532612,126.990182
40,11170650,용산구,이태원1동,37.532612,126.990182
41,11170660,용산구,이태원2동,37.532612,126.990182
42,11170690,용산구,서빙고동,37.518619,126.991299
43,11170700,용산구,보광동,37.526873,127.000917
44,11170555,용산구,청파동,37.545502,126.969899
45,11170560,용산구,원효로1동,37.532612,126.990182
46,11170625,용산구,한강로동,37.529054,126.969503
47,11170685,용산구,한남동,37.537541,127.005165
48,11200520,성동구,왕십리2동,,
49,11200540,성동구,마장동,37.567363,127.040731
50,11200550,성동구,사근동,37.558904,127.047597
51,11200560,성동구,행당1동,37.563386,127.037047
52,11200570,성동구,행당2동,37.563386,127.037047
53,11200580,성동구,응봉동,37.550935,127.033903
54,11200590,성동구,금호1가동,37.553509,127.023661
55,11200620,성동구,금호4가동,37.545404,127.024129
56,11200650,성동구,성수1가1동,37.543511,127.042746
57,11200660,성동구,성수1가2동,37.543511,127.042746
58,11200670,성동구,성수2가1동,37.540855,127.056517
59,11200690,성동구,성수2가3동,37.540855,127.056517
60,11200720,성동구,송정동,37.553181,127.062066
61,11200790,성동구,용답동,37.56147,127.056348
62,11200535,성동구,왕십리도선동,37.56598,127.031444
63,11200615,성동구,금호2.3가동,37.549549,127.019842
64,11200645,성동구,옥수동,37.540788,127.020624
65,11215710,광진구,화양동,37.54325,127.073393
66,11215730,광진구,군자동,37.553038,127.073657
67,11215740,광진구,중곡1동,37.53821,127.082191
68,11215750,광진구,중곡2동,37.53821,127.082191
69,11215760,광진구,중곡3동,37.53821,127.082191
70,11215770,광진구,중곡4동,37.53821,127.082191
71,11215780,광진구,능동,37.550578,127.081722
72,11215850,광진구,구의1동,37.53821,127.082191
73,11215860,광진구,구의2동,37.53821,127.082191
74,11215870,광진구,구의3동,37.53821,127.082191
75,11215810,광진구,광장동,37.547835,127.104695
76,11215820,광진구,자양1동,37.53821,127.082191
77,11215830,광진구,자양2동,37.53821,127.082191
78,11215840,광진구,자양3동,37.53821,127.082191
79,11215847,광진구,자양4동,37.53821,127.082191
80,11230710,동대문구,회기동,37.593733,127.051434
81,11230720,동대문구,휘경1동,37.574428,127.039712
82,11230730,동대문구,휘경2동,37.574428,127.039712
83,11230705,동대문구,청량리동,37.588799,127.04528
84,11230536,동대문구,용신동,37.575868,127.037305
85,11230545,동대문구,제기동,37.583778,127.037226
86,11230560,동대문구,전농1동,37.574428,127.039712
87,11230570,동대문구,전농2동,37.574428,127.039712
88,11230610,동대문구,답십리2동,37.57097,127.056703
89,11230650,동대문구,장안1동,37.574428,127.039712
90,11230660,동대문구,장안2동,37.574428,127.039712
91,11230740,동대문구,이문1동,37.574428,127.039712
92,11230750,동대문구,이문2동,37.574428,127.039712
93,11230600,동대문구,답십리1동,37.57097,127.056703
94,11260520,중랑구,면목2동,37.606736,127.092924
95,11260540,중랑구,면목4동,37.606736,127.092924
96,11260550,중랑구,면목5동,37.606736,127.092924
97,11260570,중랑구,면목7동,37.606736,127.092924
98,11260580,중랑구,상봉1동,37.606736,127.092924
99,11260590,중랑구,상봉2동,37.606736,127.092924
100,11260600,중랑구,중화1동,37.606736,127.092924
101,11260610,중랑구,중화2동,37.606736,127.092924
102,11260620,중랑구,묵1동,37.606736,127.092924
103,11260630,중랑구,묵2동,37.606736,127.092924
104,11260660,중랑구,망우3동,37.606736,127.092924
105,11260680,중랑구,신내1동,37.605867,127.099356
106,11260690,중랑구,신내2동,37.606188,127.094222
107,11260565,중랑구,면목본동,37.587331,127.087419
108,11260575,중랑구,면목3.8동,37.582921,127.088107
109,11260655,중랑구,망우본동,37.601504,127.106215
110,11290580,성북구,돈암1동,37.58944,127.016817
111,11290590,성북구,돈암2동,37.58944,127.016817
112,11290600,성북구,안암동,37.585892,127.021381
113,11290610,성북구,보문동,37.58038,127.022857
114,11290620,성북구,정릉1동,37.58944,127.016817
115,11290630,성북구,정릉2동,37.58944,127.016817
116,11290640,성북구,정릉3동,37.58944,127.016817
117,11290650,성북구,정릉4동,37.58944,127.016817
118,11290660,성북구,길음1동,37.58944,127.016817
